2019-07-06 00:27:28.425  INFO [ms1,,,] 1340 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8005 (http) with context path ''
2019-07-06 00:27:28.429  INFO [ms1,,,] 1340 --- [main] org.ms1.msApp1                           : Started msApp1 in 10.879 seconds (JVM running for 13.116)
2019-07-06 00:27:56.478  INFO [ms1,,,] 1340 --- [http-nio-8005-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-07-06 00:27:56.478  INFO [ms1,,,] 1340 --- [http-nio-8005-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2019-07-06 00:27:56.577  INFO [ms1,,,] 1340 --- [http-nio-8005-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 99 ms
2019-07-06 00:29:04.373  INFO [ms1,,,] 1340 --- [Thread-7] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-07-06 00:29:51.493  INFO [ms1,,,] 1393 --- [main] org.ms1.msApp1                           : The following profiles are active: dev
2019-07-06 00:29:54.055  INFO [ms1,,,] 1393 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=3ab019b5-2b52-36f6-88c6-5312fd215592
2019-07-06 00:29:54.099  INFO [ms1,,,] 1393 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.ms1.msApp1$Ms2' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-06 00:29:54.834  INFO [ms1,,,] 1393 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$cf8a6eff] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
